127.0.0.1 - - [02/Apr/2026:16:45:33 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:16:27 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=&studentId= HTTP/1.1" 500 2978
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:16:27 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:36 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:36 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:37 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5513
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:37 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:38 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=&studentId= HTTP/1.1" 500 2978
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:38 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:43 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:43 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:44 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5513
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:44 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:45 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5513
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:45 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:49 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=&studentId= HTTP/1.1" 500 2978
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:17:49 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:19:38 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:19:38 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:19:38 +0200] "GET /company-app/applications.jsp HTTP/1.1" 500 2709
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:19:38 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:20:49 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:20:50 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5715
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:20:50 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:20:51 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=5&studentId=1 HTTP/1.1" 500 2978
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:20:51 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:21:25 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:21:25 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:21:26 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=5&studentId=1 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [02/Apr/2026:17:21:26 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
